,Country,Code,Year,Deaths_Recorded,Income classifications (World Bank (2017)),Deaths_Recorded_2019,Year_2019
47,African Region (WHO),,2004,216528,Low income,236433,2019
48,African Region (WHO),,2005,216049,Low income,236433,2019
49,African Region (WHO),,2006,217167,Low income,236433,2019
50,African Region (WHO),,2007,216340,Low income,236433,2019
51,African Region (WHO),,2008,216666,Low income,236433,2019
52,African Region (WHO),,2009,217701,Low income,236433,2019
53,African Region (WHO),,2010,218518,Low income,236433,2019
54,African Region (WHO),,2011,219104,Low income,236433,2019
55,African Region (WHO),,2012,220369,Low income,236433,2019
56,African Region (WHO),,2013,221841,Low income,236433,2019
57,African Region (WHO),,2014,224485,Low income,236433,2019
58,African Region (WHO),,2015,227269,Low income,236433,2019
59,African Region (WHO),,2016,229185,Low income,236433,2019
60,African Region (WHO),,2017,231791,Low income,236433,2019
61,African Region (WHO),,2018,233548,Low income,236433,2019
62,African Region (WHO),,2019,236433,Low income,236433,2019
63,Albania,ALB,1990,2752,Lower-middle income,4425,2019
64,Albania,ALB,1991,2809,Lower-middle income,4425,2019
65,Albania,ALB,1992,2705,Lower-middle income,4425,2019
66,Albania,ALB,1993,2603,Low income,4425,2019
67,Albania,ALB,1994,2453,Low income,4425,2019
68,Albania,ALB,1995,2550,Low income,4425,2019
69,Albania,ALB,1996,2674,Lower-middle income,4425,2019
70,Albania,ALB,1997,2745,Low income,4425,2019
71,Albania,ALB,1998,2788,Lower-middle income,4425,2019
72,Albania,ALB,1999,2795,Lower-middle income,4425,2019
73,Albania,ALB,2000,2832,Lower-middle income,4425,2019
74,Albania,ALB,2001,2768,Lower-middle income,4425,2019
75,Albania,ALB,2002,2898,Lower-middle income,4425,2019
76,Albania,ALB,2003,3100,Lower-middle income,4425,2019
77,Albania,ALB,2004,3166,Lower-middle income,4425,2019
78,Albania,ALB,2005,3108,Lower-middle income,4425,2019
79,Albania,ALB,2006,2973,Lower-middle income,4425,2019
80,Albania,ALB,2007,2899,Lower-middle income,4425,2019
81,Albania,ALB,2008,3011,Lower-middle income,4425,2019
82,Albania,ALB,2009,3061,Upper-middle income,4425,2019
83,Albania,ALB,2010,3147,Upper-middle income,4425,2019
84,Albania,ALB,2011,3302,Lower-middle income,4425,2019
85,Albania,ALB,2012,3411,Upper-middle income,4425,2019
86,Albania,ALB,2013,3544,Upper-middle income,4425,2019
87,Albania,ALB,2014,3741,Upper-middle income,4425,2019
88,Albania,ALB,2015,3936,Upper-middle income,4425,2019
89,Albania,ALB,2016,4058,Upper-middle income,4425,2019
90,Albania,ALB,2017,4183,Upper-middle income,4425,2019
91,Albania,ALB,2018,4304,Upper-middle income,4425,2019
92,Albania,ALB,2019,4425,Upper-middle income,4425,2019
93,Albania,ALB,1987,,Upper-middle income,4425,2019
94,Albania,ALB,1988,,Upper-middle income,4425,2019
95,Albania,ALB,1989,,Upper-middle income,4425,2019
96,Algeria,DZA,1990,13780,Lower-middle income,21555,2019
97,Algeria,DZA,1991,14233,Lower-middle income,21555,2019
98,Algeria,DZA,1992,14541,Lower-middle income,21555,2019
99,Algeria,DZA,1993,14827,Lower-middle income,21555,2019
100,Algeria,DZA,1994,15078,Lower-middle income,21555,2019
101,Algeria,DZA,1995,15270,Lower-middle income,21555,2019
102,Algeria,DZA,1996,15364,Lower-middle income,21555,2019
103,Algeria,DZA,1997,15420,Lower-middle income,21555,2019
104,Algeria,DZA,1998,15442,Lower-middle income,21555,2019
105,Algeria,DZA,1999,15611,Lower-middle income,21555,2019
106,Algeria,DZA,2000,15654,Lower-middle income,21555,2019
107,Algeria,DZA,2001,15699,Lower-middle income,21555,2019
108,Algeria,DZA,2002,15762,Lower-middle income,21555,2019
109,Algeria,DZA,2003,15844,Lower-middle income,21555,2019
110,Algeria,DZA,2004,15980,Lower-middle income,21555,2019
111,Algeria,DZA,2005,16144,Lower-middle income,21555,2019
112,Algeria,DZA,2006,16306,Lower-middle income,21555,2019
113,Algeria,DZA,2007,16513,Lower-middle income,21555,2019
114,Algeria,DZA,2008,16733,Upper-middle income,21555,2019
115,Algeria,DZA,2009,17014,Upper-middle income,21555,2019
116,Algeria,DZA,2010,17238,Upper-middle income,21555,2019
117,Algeria,DZA,2011,17595,Upper-middle income,21555,2019
118,Algeria,DZA,2012,17978,Upper-middle income,21555,2019
119,Algeria,DZA,2013,18318,Upper-middle income,21555,2019
120,Algeria,DZA,2014,18740,Upper-middle income,21555,2019
121,Algeria,DZA,2015,19251,Upper-middle income,21555,2019
122,Algeria,DZA,2016,19759,Upper-middle income,21555,2019
123,Algeria,DZA,2017,20376,Upper-middle income,21555,2019
124,Algeria,DZA,2018,20914,Upper-middle income,21555,2019
125,Algeria,DZA,2019,21555,Upper-middle income,21555,2019
126,Algeria,DZA,1987,,Upper-middle income,21555,2019
127,Algeria,DZA,1988,,Upper-middle income,21555,2019
128,Algeria,DZA,1989,,Lower-middle income,21555,2019
129,American Samoa,ASM,1990,34,Upper-middle income,55,2019
130,American Samoa,ASM,1991,35,Upper-middle income,55,2019
131,American Samoa,ASM,1992,36,Upper-middle income,55,2019
132,American Samoa,ASM,1993,36,Upper-middle income,55,2019
133,American Samoa,ASM,1994,37,Upper-middle income,55,2019
134,American Samoa,ASM,1995,38,Upper-middle income,55,2019
135,American Samoa,ASM,1996,39,Upper-middle income,55,2019
136,American Samoa,ASM,1997,40,Upper-middle income,55,2019
137,American Samoa,ASM,1998,41,Upper-middle income,55,2019
138,American Samoa,ASM,1999,42,Upper-middle income,55,2019
139,American Samoa,ASM,2000,43,Upper-middle income,55,2019
140,American Samoa,ASM,2001,43,Upper-middle income,55,2019
141,American Samoa,ASM,2002,44,Upper-middle income,55,2019
142,American Samoa,ASM,2003,45,Upper-middle income,55,2019
143,American Samoa,ASM,2004,45,Upper-middle income,55,2019
144,American Samoa,ASM,2005,45,Upper-middle income,55,2019
145,American Samoa,ASM,2006,46,Upper-middle income,55,2019
146,American Samoa,ASM,2007,46,Upper-middle income,55,2019
147,American Samoa,ASM,2008,47,Upper-middle income,55,2019
148,American Samoa,ASM,2009,48,Upper-middle income,55,2019
149,American Samoa,ASM,2010,48,Upper-middle income,55,2019
150,American Samoa,ASM,2011,49,Upper-middle income,55,2019
151,American Samoa,ASM,2012,49,Upper-middle income,55,2019
152,American Samoa,ASM,2013,50,Upper-middle income,55,2019
153,American Samoa,ASM,2014,51,Upper-middle income,55,2019
154,American Samoa,ASM,2015,52,Upper-middle income,55,2019
155,American Samoa,ASM,2016,53,Upper-middle income,55,2019
156,American Samoa,ASM,2017,53,Upper-middle income,55,2019
157,American Samoa,ASM,2018,54,Upper-middle income,55,2019
158,American Samoa,ASM,2019,55,Upper-middle income,55,2019
159,American Samoa,ASM,1987,,High income,55,2019
160,American Samoa,ASM,1988,,High income,55,2019
161,American Samoa,ASM,1989,,High income,55,2019
162,Andorra,AND,1990,60,High income,106,2019
163,Andorra,AND,1991,63,High income,106,2019
164,Andorra,AND,1992,67,High income,106,2019
165,Andorra,AND,1993,71,High income,106,2019
166,Andorra,AND,1994,72,High income,106,2019
167,Andorra,AND,1995,74,High income,106,2019
168,Andorra,AND,1996,75,High income,106,2019
169,Andorra,AND,1997,76,High income,106,2019
170,Andorra,AND,1998,78,High income,106,2019
171,Andorra,AND,1999,79,High income,106,2019
172,Andorra,AND,2000,81,High income,106,2019
173,Andorra,AND,2001,82,High income,106,2019
174,Andorra,AND,2002,84,High income,106,2019
175,Andorra,AND,2003,87,High income,106,2019
176,Andorra,AND,2004,89,High income,106,2019
177,Andorra,AND,2005,90,High income,106,2019
178,Andorra,AND,2006,92,High income,106,2019
179,Andorra,AND,2007,94,High income,106,2019
180,Andorra,AND,2008,96,High income,106,2019
181,Andorra,AND,2009,98,High income,106,2019
182,Andorra,AND,2010,99,High income,106,2019
183,Andorra,AND,2011,94,High income,106,2019
184,Andorra,AND,2012,92,High income,106,2019
185,Andorra,AND,2013,93,High income,106,2019
186,Andorra,AND,2014,95,High income,106,2019
187,Andorra,AND,2015,97,High income,106,2019
188,Andorra,AND,2016,98,High income,106,2019
189,Andorra,AND,2017,101,High income,106,2019
190,Andorra,AND,2018,104,High income,106,2019
191,Andorra,AND,2019,106,High income,106,2019
192,Andorra,AND,1987,,High income,106,2019
193,Andorra,AND,1988,,High income,106,2019
194,Andorra,AND,1989,,High income,106,2019
195,Angola,AGO,1990,4507,Lower-middle income,7511,2019
196,Angola,AGO,1991,4613,Lower-middle income,7511,2019
197,Angola,AGO,1992,4732,Lower-middle income,7511,2019
198,Angola,AGO,1993,4916,Lower-middle income,7511,2019
199,Angola,AGO,1994,5085,Lower-middle income,7511,2019
200,Angola,AGO,1995,5178,Low income,7511,2019
201,Angola,AGO,1996,5151,Low income,7511,2019
202,Angola,AGO,1997,5198,Low income,7511,2019
203,Angola,AGO,1998,5369,Low income,7511,2019
204,Angola,AGO,1999,5484,Low income,7511,2019
205,Angola,AGO,2000,5561,Low income,7511,2019
206,Angola,AGO,2001,5568,Low income,7511,2019
207,Angola,AGO,2002,5440,Low income,7511,2019
208,Angola,AGO,2003,5460,Low income,7511,2019
209,Angola,AGO,2004,5597,Lower-middle income,7511,2019
210,Angola,AGO,2005,5536,Lower-middle income,7511,2019
211,Angola,AGO,2006,5662,Lower-middle income,7511,2019
212,Angola,AGO,2007,5704,Lower-middle income,7511,2019
213,Angola,AGO,2008,5792,Lower-middle income,7511,2019
214,Angola,AGO,2009,5904,Lower-middle income,7511,2019
215,Angola,AGO,2010,6005,Lower-middle income,7511,2019
216,Angola,AGO,2011,6158,Upper-middle income,7511,2019
217,Angola,AGO,2012,6351,Upper-middle income,7511,2019
218,Angola,AGO,2013,6477,Upper-middle income,7511,2019
219,Angola,AGO,2014,6489,Upper-middle income,7511,2019
220,Angola,AGO,2015,6634,Upper-middle income,7511,2019
221,Angola,AGO,2016,6787,Lower-middle income,7511,2019
222,Angola,AGO,2017,7007,Lower-middle income,7511,2019
223,Angola,AGO,2018,7243,Lower-middle income,7511,2019
224,Angola,AGO,2019,7511,Lower-middle income,7511,2019
225,Angola,AGO,1987,,Lower-middle income,7511,2019
226,Angola,AGO,1988,,Lower-middle income,7511,2019
227,Angola,AGO,1989,,Lower-middle income,7511,2019
228,Antigua and Barbuda,ATG,1990,24,Upper-middle income,37,2019
229,Antigua and Barbuda,ATG,1991,25,Upper-middle income,37,2019
230,Antigua and Barbuda,ATG,1992,25,Upper-middle income,37,2019
231,Antigua and Barbuda,ATG,1993,27,Upper-middle income,37,2019
232,Antigua and Barbuda,ATG,1994,27,Upper-middle income,37,2019
233,Antigua and Barbuda,ATG,1995,27,Upper-middle income,37,2019
234,Antigua and Barbuda,ATG,1996,25,Upper-middle income,37,2019
235,Antigua and Barbuda,ATG,1997,25,Upper-middle income,37,2019
236,Antigua and Barbuda,ATG,1998,25,Upper-middle income,37,2019
237,Antigua and Barbuda,ATG,1999,25,Upper-middle income,37,2019
238,Antigua and Barbuda,ATG,2000,25,Upper-middle income,37,2019
239,Antigua and Barbuda,ATG,2001,25,Upper-middle income,37,2019
240,Antigua and Barbuda,ATG,2002,25,High income,37,2019
241,Antigua and Barbuda,ATG,2003,26,Upper-middle income,37,2019
242,Antigua and Barbuda,ATG,2004,26,Upper-middle income,37,2019
243,Antigua and Barbuda,ATG,2005,26,High income,37,2019
244,Antigua and Barbuda,ATG,2006,27,High income,37,2019
245,Antigua and Barbuda,ATG,2007,32,High income,37,2019
246,Antigua and Barbuda,ATG,2008,33,High income,37,2019
247,Antigua and Barbuda,ATG,2009,30,Upper-middle income,37,2019
248,Antigua and Barbuda,ATG,2010,30,Upper-middle income,37,2019
249,Antigua and Barbuda,ATG,2011,31,Upper-middle income,37,2019
250,Antigua and Barbuda,ATG,2012,31,High income,37,2019
251,Antigua and Barbuda,ATG,2013,31,High income,37,2019
252,Antigua and Barbuda,ATG,2014,32,High income,37,2019
253,Antigua and Barbuda,ATG,2015,33,High income,37,2019
254,Antigua and Barbuda,ATG,2016,34,High income,37,2019
255,Antigua and Barbuda,ATG,2017,35,High income,37,2019
256,Antigua and Barbuda,ATG,2018,36,High income,37,2019
257,Antigua and Barbuda,ATG,2019,37,High income,37,2019
258,Antigua and Barbuda,ATG,1987,,Upper-middle income,37,2019
259,Antigua and Barbuda,ATG,1988,,Upper-middle income,37,2019
260,Antigua and Barbuda,ATG,1989,,Upper-middle income,37,2019
261,Argentina,ARG,1990,46415,Lower-middle income,51306,2019
262,Argentina,ARG,1991,45869,Upper-middle income,51306,2019
263,Argentina,ARG,1992,46216,Upper-middle income,51306,2019
264,Argentina,ARG,1993,45708,Upper-middle income,51306,2019
265,Argentina,ARG,1994,44885,Upper-middle income,51306,2019
266,Argentina,ARG,1995,45126,Upper-middle income,51306,2019
267,Argentina,ARG,1996,45556,Upper-middle income,51306,2019
268,Argentina,ARG,1997,45967,Upper-middle income,51306,2019
269,Argentina,ARG,1998,46526,Upper-middle income,51306,2019
270,Argentina,ARG,1999,46945,Upper-middle income,51306,2019
271,Argentina,ARG,2000,45673,Upper-middle income,51306,2019
272,Argentina,ARG,2001,45880,Upper-middle income,51306,2019
273,Argentina,ARG,2002,46722,Upper-middle income,51306,2019
274,Argentina,ARG,2003,47185,Upper-middle income,51306,2019
275,Argentina,ARG,2004,46319,Upper-middle income,51306,2019
276,Argentina,ARG,2005,45836,Upper-middle income,51306,2019
277,Argentina,ARG,2006,46026,Upper-middle income,51306,2019
278,Argentina,ARG,2007,47285,Upper-middle income,51306,2019
279,Argentina,ARG,2008,46398,Upper-middle income,51306,2019
280,Argentina,ARG,2009,46503,Upper-middle income,51306,2019
281,Argentina,ARG,2010,46971,Upper-middle income,51306,2019
282,Argentina,ARG,2011,47324,Upper-middle income,51306,2019
283,Argentina,ARG,2012,47485,Upper-middle income,51306,2019
284,Argentina,ARG,2013,47689,Upper-middle income,51306,2019
285,Argentina,ARG,2014,47575,High income,51306,2019
286,Argentina,ARG,2015,48531,Upper-middle income,51306,2019
287,Argentina,ARG,2016,50483,Upper-middle income,51306,2019
288,Argentina,ARG,2017,51077,Upper-middle income,51306,2019
289,Argentina,ARG,2018,50863,Upper-middle income,51306,2019
290,Argentina,ARG,2019,51306,Upper-middle income,51306,2019
291,Argentina,ARG,1987,,Upper-middle income,51306,2019
292,Argentina,ARG,1988,,Upper-middle income,51306,2019
293,Argentina,ARG,1989,,Lower-middle income,51306,2019
294,Armenia,ARM,1990,4243,Upper-middle income,4864,2019
295,Armenia,ARM,1991,4532,Lower-middle income,4864,2019
296,Armenia,ARM,1992,4942,Lower-middle income,4864,2019
297,Armenia,ARM,1993,5167,Low income,4864,2019
298,Armenia,ARM,1994,4978,Low income,4864,2019
299,Armenia,ARM,1995,4927,Low income,4864,2019
300,Armenia,ARM,1996,4988,Low income,4864,2019
301,Armenia,ARM,1997,4793,Low income,4864,2019
302,Armenia,ARM,1998,4674,Low income,4864,2019
303,Armenia,ARM,1999,4759,Low income,4864,2019
304,Armenia,ARM,2000,4722,Low income,4864,2019
305,Armenia,ARM,2001,4839,Low income,4864,2019
306,Armenia,ARM,2002,4954,Lower-middle income,4864,2019
307,Armenia,ARM,2003,5014,Lower-middle income,4864,2019
308,Armenia,ARM,2004,4978,Lower-middle income,4864,2019
309,Armenia,ARM,2005,5060,Lower-middle income,4864,2019
310,Armenia,ARM,2006,5155,Lower-middle income,4864,2019
311,Armenia,ARM,2007,5053,Lower-middle income,4864,2019
312,Armenia,ARM,2008,5091,Lower-middle income,4864,2019
313,Armenia,ARM,2009,5044,Lower-middle income,4864,2019
314,Armenia,ARM,2010,4980,Lower-middle income,4864,2019
315,Armenia,ARM,2011,4955,Lower-middle income,4864,2019
316,Armenia,ARM,2012,4840,Lower-middle income,4864,2019
317,Armenia,ARM,2013,4686,Lower-middle income,4864,2019
318,Armenia,ARM,2014,4716,Lower-middle income,4864,2019
319,Armenia,ARM,2015,4798,Lower-middle income,4864,2019
320,Armenia,ARM,2016,4774,Lower-middle income,4864,2019
321,Armenia,ARM,2017,4807,Lower-middle income,4864,2019
322,Armenia,ARM,2018,4829,Lower-middle income,4864,2019
323,Armenia,ARM,2019,4864,Lower-middle income,4864,2019
324,Armenia,ARM,1987,,Lower-middle income,4864,2019
325,Armenia,ARM,1988,,Lower-middle income,4864,2019
326,Armenia,ARM,1989,,Lower-middle income,4864,2019
327,Aruba,ABW,1987,,High income,,
328,Aruba,ABW,1988,,High income,,
329,Aruba,ABW,1989,,High income,,
330,Aruba,ABW,1990,,High income,,
331,Aruba,ABW,1991,,Upper-middle income,,
332,Aruba,ABW,1992,,Upper-middle income,,
333,Aruba,ABW,1993,,Upper-middle income,,
334,Aruba,ABW,1994,,High income,,
335,Aruba,ABW,1995,,High income,,
336,Aruba,ABW,1996,,High income,,
337,Aruba,ABW,1997,,High income,,
338,Aruba,ABW,1998,,High income,,
339,Aruba,ABW,1999,,High income,,
340,Aruba,ABW,2000,,High income,,
341,Aruba,ABW,2001,,High income,,
342,Aruba,ABW,2002,,High income,,
343,Aruba,ABW,2003,,High income,,
344,Aruba,ABW,2004,,High income,,
345,Aruba,ABW,2005,,High income,,
346,Aruba,ABW,2006,,High income,,
347,Aruba,ABW,2007,,High income,,
348,Aruba,ABW,2008,,High income,,
349,Aruba,ABW,2009,,High income,,
350,Aruba,ABW,2010,,High income,,
351,Aruba,ABW,2011,,High income,,
352,Aruba,ABW,2012,,High income,,
353,Aruba,ABW,2013,,High income,,
354,Aruba,ABW,2014,,High income,,
355,Aruba,ABW,2015,,High income,,
356,Aruba,ABW,2016,,High income,,
357,Australia,AUS,1990,24759,High income,18999,2019
358,Australia,AUS,1991,24211,High income,18999,2019
359,Australia,AUS,1992,24109,High income,18999,2019
360,Australia,AUS,1993,23651,High income,18999,2019
361,Australia,AUS,1994,23606,High income,18999,2019
362,Australia,AUS,1995,23090,High income,18999,2019
363,Australia,AUS,1996,22860,High income,18999,2019
364,Australia,AUS,1997,22294,High income,18999,2019
365,Australia,AUS,1998,21643,High income,18999,2019
366,Australia,AUS,1999,20985,High income,18999,2019
367,Australia,AUS,2000,20466,High income,18999,2019
368,Australia,AUS,2001,20046,High income,18999,2019
369,Australia,AUS,2002,19775,High income,18999,2019
370,Australia,AUS,2003,19199,High income,18999,2019
371,Australia,AUS,2004,18866,High income,18999,2019
372,Australia,AUS,2005,18455,High income,18999,2019
373,Australia,AUS,2006,18235,High income,18999,2019
374,Australia,AUS,2007,18373,High income,18999,2019
375,Australia,AUS,2008,18357,High income,18999,2019
376,Australia,AUS,2009,18062,High income,18999,2019
377,Australia,AUS,2010,17852,High income,18999,2019
378,Australia,AUS,2011,17884,High income,18999,2019
379,Australia,AUS,2012,17730,High income,18999,2019
380,Australia,AUS,2013,17766,High income,18999,2019
381,Australia,AUS,2014,18048,High income,18999,2019
382,Australia,AUS,2015,18188,High income,18999,2019
383,Australia,AUS,2016,18038,High income,18999,2019
384,Australia,AUS,2017,18236,High income,18999,2019
385,Australia,AUS,2018,18736,High income,18999,2019
386,Australia,AUS,2019,18999,High income,18999,2019
387,Australia,AUS,1987,,High income,18999,2019
388,Australia,AUS,1988,,High income,18999,2019
389,Australia,AUS,1989,,High income,18999,2019
390,Austria,AUT,1990,12730,High income,12314,2019
391,Austria,AUT,1991,12714,High income,12314,2019
392,Austria,AUT,1992,12619,High income,12314,2019
393,Austria,AUT,1993,12511,High income,12314,2019
394,Austria,AUT,1994,12296,High income,12314,2019
395,Austria,AUT,1995,12297,High income,12314,2019
396,Austria,AUT,1996,12243,High income,12314,2019
397,Austria,AUT,1997,12075,High income,12314,2019
398,Austria,AUT,1998,11963,High income,12314,2019
399,Austria,AUT,1999,11804,High income,12314,2019
400,Austria,AUT,2000,11646,High income,12314,2019
401,Austria,AUT,2001,11449,High income,12314,2019
402,Austria,AUT,2002,11565,High income,12314,2019
403,Austria,AUT,2003,11637,High income,12314,2019
404,Austria,AUT,2004,11535,High income,12314,2019
405,Austria,AUT,2005,11521,High income,12314,2019
406,Austria,AUT,2006,11408,High income,12314,2019
407,Austria,AUT,2007,11520,High income,12314,2019
408,Austria,AUT,2008,11560,High income,12314,2019
409,Austria,AUT,2009,11848,High income,12314,2019
410,Austria,AUT,2010,11889,High income,12314,2019
411,Austria,AUT,2011,11923,High income,12314,2019
412,Austria,AUT,2012,12059,High income,12314,2019
413,Austria,AUT,2013,12144,High income,12314,2019
414,Austria,AUT,2014,12180,High income,12314,2019
415,Austria,AUT,2015,12371,High income,12314,2019
416,Austria,AUT,2016,12282,High income,12314,2019
417,Austria,AUT,2017,12203,High income,12314,2019
418,Austria,AUT,2018,12172,High income,12314,2019
419,Austria,AUT,2019,12314,High income,12314,2019
420,Austria,AUT,1987,,High income,12314,2019
421,Austria,AUT,1988,,High income,12314,2019
422,Austria,AUT,1989,,High income,12314,2019
423,Azerbaijan,AZE,1990,6927,Upper-middle income,12497,2019
424,Azerbaijan,AZE,1991,7278,Lower-middle income,12497,2019
425,Azerbaijan,AZE,1992,7730,Lower-middle income,12497,2019
426,Azerbaijan,AZE,1993,8068,Lower-middle income,12497,2019
427,Azerbaijan,AZE,1994,8358,Low income,12497,2019
428,Azerbaijan,AZE,1995,8500,Low income,12497,2019
429,Azerbaijan,AZE,1996,8521,Low income,12497,2019
430,Azerbaijan,AZE,1997,8355,Low income,12497,2019
431,Azerbaijan,AZE,1998,8252,Low income,12497,2019
432,Azerbaijan,AZE,1999,8226,Low income,12497,2019
433,Azerbaijan,AZE,2000,8224,Low income,12497,2019
434,Azerbaijan,AZE,2001,8233,Low income,12497,2019
435,Azerbaijan,AZE,2002,8403,Low income,12497,2019
436,Azerbaijan,AZE,2003,8655,Lower-middle income,12497,2019
437,Azerbaijan,AZE,2004,8788,Lower-middle income,12497,2019
438,Azerbaijan,AZE,2005,9137,Lower-middle income,12497,2019
439,Azerbaijan,AZE,2006,9317,Lower-middle income,12497,2019
440,Azerbaijan,AZE,2007,9391,Lower-middle income,12497,2019
441,Azerbaijan,AZE,2008,9753,Lower-middle income,12497,2019
442,Azerbaijan,AZE,2009,9998,Upper-middle income,12497,2019
443,Azerbaijan,AZE,2010,10240,Upper-middle income,12497,2019
444,Azerbaijan,AZE,2011,10613,Upper-middle income,12497,2019
445,Azerbaijan,AZE,2012,10901,Upper-middle income,12497,2019
446,Azerbaijan,AZE,2013,11056,Upper-middle income,12497,2019
447,Azerbaijan,AZE,2014,11229,Upper-middle income,12497,2019
448,Azerbaijan,AZE,2015,11457,Upper-middle income,12497,2019
449,Azerbaijan,AZE,2016,11795,Upper-middle income,12497,2019
450,Azerbaijan,AZE,2017,12229,Upper-middle income,12497,2019
451,Azerbaijan,AZE,2018,12208,Upper-middle income,12497,2019
452,Azerbaijan,AZE,2019,12497,Upper-middle income,12497,2019
453,Azerbaijan,AZE,1987,,Upper-middle income,12497,2019
454,Azerbaijan,AZE,1988,,Upper-middle income,12497,2019
455,Azerbaijan,AZE,1989,,Upper-middle income,12497,2019
456,Bahamas,BHS,1990,93,High income,155,2019
457,Bahamas,BHS,1991,92,High income,155,2019
458,Bahamas,BHS,1992,92,High income,155,2019
459,Bahamas,BHS,1993,93,High income,155,2019
460,Bahamas,BHS,1994,95,High income,155,2019
461,Bahamas,BHS,1995,96,High income,155,2019
462,Bahamas,BHS,1996,99,High income,155,2019
463,Bahamas,BHS,1997,97,High income,155,2019
464,Bahamas,BHS,1998,98,High income,155,2019
465,Bahamas,BHS,1999,102,High income,155,2019
466,Bahamas,BHS,2000,99,High income,155,2019
467,Bahamas,BHS,2001,103,High income,155,2019
468,Bahamas,BHS,2002,101,High income,155,2019
469,Bahamas,BHS,2003,101,High income,155,2019
470,Bahamas,BHS,2004,104,High income,155,2019
471,Bahamas,BHS,2005,103,High income,155,2019
472,Bahamas,BHS,2006,107,High income,155,2019
473,Bahamas,BHS,2007,107,High income,155,2019
474,Bahamas,BHS,2008,111,High income,155,2019
475,Bahamas,BHS,2009,116,High income,155,2019
476,Bahamas,BHS,2010,119,High income,155,2019
477,Bahamas,BHS,2011,122,High income,155,2019
478,Bahamas,BHS,2012,124,High income,155,2019
479,Bahamas,BHS,2013,125,High income,155,2019
480,Bahamas,BHS,2014,130,High income,155,2019
481,Bahamas,BHS,2015,136,High income,155,2019
482,Bahamas,BHS,2016,141,High income,155,2019
483,Bahamas,BHS,2017,145,High income,155,2019
484,Bahamas,BHS,2018,150,High income,155,2019
485,Bahamas,BHS,2019,155,High income,155,2019
486,Bahamas,BHS,1987,,High income,155,2019
487,Bahamas,BHS,1988,,High income,155,2019
488,Bahamas,BHS,1989,,High income,155,2019
489,Bahrain,BHR,1990,311,Upper-middle income,545,2019
490,Bahrain,BHR,1991,321,Upper-middle income,545,2019
491,Bahrain,BHR,1992,324,Upper-middle income,545,2019
492,Bahrain,BHR,1993,322,Upper-middle income,545,2019
493,Bahrain,BHR,1994,327,Upper-middle income,545,2019
494,Bahrain,BHR,1995,336,Upper-middle income,545,2019
495,Bahrain,BHR,1996,342,Upper-middle income,545,2019
